,CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y,MERGED STREETS
2915,23143195,3/26/09,2009,March,26,Thursday,1155,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,ASH ST SE,Injury Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Made Improper Turn,2,0,0,0,1,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE/NOT STATED,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.63,35.0787,"LEAD AVE SE, ASH ST SE"
2916,23128144,3/27/09,2009,March,27,Friday,1600,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,YALE BLVD NE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Opposite Direction/Sideswipe Collision,Driver Inattention,4,0,0,0,0,4,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,S,U,9998,0,,,,,,"YALE BLVD NE, LEAD AVE SE"
2917,23129263,3/31/09,2009,March,31,Tuesday,2238,22,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,BROADWAY BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,N,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"BROADWAY BLVD SE, LEAD AVE SE"
2918,23066401,4/1/09,2009,April,1,Wednesday,1536,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,CEDAR ST NE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Driver Inattention,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Wind,,Functional,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,EAST,50,0,,,,,,"LEAD AVE SE, CEDAR ST NE"
2919,710002182,4/3/09,2009,April,3,Friday,930,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST NE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Overtaking,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,On Grade,W,U,9998,0,,,,,,"LEAD AVE SE, LOCUST ST NE"
2920,23143571,4/4/09,2009,April,4,Saturday,1145,11,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,CARLISLE BLVD NE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,4,0,0,0,3,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,,,"CARLISLE BLVD NE, LEAD AVE SE"
2921,23102996,4/6/09,2009,April,6,Monday,936,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,ASH ST NE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Made Improper Turn,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,,,"LEAD AVE SE, ASH ST NE"
2922,23127647,4/9/09,2009,April,9,Thursday,942,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,COLUMBIA DR SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,0,0,1,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.617,35.0773,"COLUMBIA DR SE, LEAD AVE SE"
2923,23143295,4/10/09,2009,April,10,Friday,1750,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,OAK ST NE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,0,0,1,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,,,"OAK ST NE, LEAD AVE SE"
2924,90035550,4/10/09,2009,April,10,Friday,1225,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,3,0,0,0,1,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
2925,400002124,4/16/09,2009,April,16,Thursday,1524,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,EDITH BLVD NE  NM 98,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,,,"EDITH BLVD NE  NM 98, LEAD AVE SE"
2926,710003048,4/18/09,2009,April,18,Saturday,658,6,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,2ND ST NW,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,1,0,2,0,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,N,UNKNOWN OR N/A,0,0,3023,,,,,"LEAD AVE SE, 2ND ST NW"
2927,22548383,4/24/09,2009,April,24,Friday,1311,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Right Turn,Made Improper Turn,4,0,0,0,3,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Hillcrest,E,UNKNOWN OR N/A,0,0,AFD,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
2928,23143588,4/25/09,2009,April,25,Saturday,1630,16,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,YALE BLVD NE,Property Damage Only Crash,Fixed Object,Fixed Object - Median Raised Or Curb,Avoid No Contact - Other,1,0,0,0,0,1,1,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,Off Roadway,CURVE,Level,W,U,9998,0,,,,,,"LEAD AVE SE, YALE BLVD NE"
2929,23152601,4/26/09,2009,April,26,Sunday,0,0,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,VASSAR DR SE,LEAD AVE SE,Property Damage Only Crash,Parked Vehicle,Vehicle Parked in Proper Location,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Wind,Yes,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.6146,35.0773,"VASSAR DR SE, LEAD AVE SE"
2930,23098966,4/30/09,2009,April,30,Thursday,1937,19,BERNALILLO,ALBUQUERQUE,OTHER CITY POLICE,LEAD,SECONDARY,CARLISLE BLVD NE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,S,NORTH,20,0,,,,,,"CARLISLE BLVD NE, LEAD AVE SE"
2931,23047729,5/1/09,2009,May,1,Friday,1210,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SYCAMORE ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.6321,35.079,"LEAD AVE SE, SYCAMORE ST SE"
2932,23143621,5/5/09,2009,May,5,Tuesday,825,8,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,COLUMBIA DR NE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,,,"LEAD AVE SE, COLUMBIA DR NE"
2933,710035254,5/6/09,2009,May,6,Wednesday,1614,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,YALE BLVD NE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Driver Inattention,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,S,U,9998,0,,,,,,"LEAD AVE SE, YALE BLVD NE"
2934,23152512,5/7/09,2009,May,7,Thursday,1342,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,RICHMOND DR NE,LEAD AVE SE,Injury Crash,Fixed Object,Fixed Object - Median Raised Or Curb,Excessive Speed,3,0,3,0,0,0,1,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,On Grade,W,U,9998,0,17,,,,,"RICHMOND DR NE, LEAD AVE SE"
2935,23152082,5/8/09,2009,May,8,Friday,1210,12,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,ALISO DR SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,,,"ALISO DR SE, LEAD AVE SE"
2936,23127910,5/18/09,2009,May,18,Monday,1703,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,COLUMBIA DR NW,Injury Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Missing Data,3,0,0,0,3,0,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,EAST,180,0,,,,,,"LEAD AVE SE, COLUMBIA DR NW"
2937,710002258,5/27/09,2009,May,27,Wednesday,1133,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,EDITH BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,3,0,1,0,0,2,2,Not Involved,Not Involved,Not Involved,Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,,,-106.643,35.0804,"LEAD AVE SE, EDITH BLVD SE"
2938,710035261,5/27/09,2009,May,27,Wednesday,1539,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Property Damage Only Crash,Other Vehicle,Intersection - One Right Turn/Entering At Angle,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
2939,23143994,5/28/09,2009,May,28,Thursday,2200,22,BERNALILLO,ALBUQUERQUE,OTHER CITY POLICE,LEAD,PRIMARY,LEAD AVE SE,YALE BLVD NE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,,,"LEAD AVE SE, YALE BLVD NE"
2940,71037306,5/31/09,2009,May,31,Sunday,1416,14,BERNALILLO,ALBUQUERQUE,OTHER CITY POLICE,LEAD,PRIMARY,LEAD AVE SE,UNIVERISTY BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Made Improper Turn,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.627,35.0784,"LEAD AVE SE, UNIVERISTY BLVD SE"
2941,23151405,6/2/09,2009,June,2,Tuesday,1752,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,ELM ST NE,Injury Crash,Pedalcyclist,Vehicle Struck Pedalcyclist At Angle,Driver Inattention,3,0,0,1,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,,,"LEAD AVE SE, ELM ST NE"
2942,22548426,6/8/09,2009,June,8,Monday,1036,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SPRUCE ST NE,Injury Crash,Other Vehicle,Intersection - One Left Turn/Entering At Angle,Driver Inattention,2,0,0,0,1,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,N,UNKNOWN OR N/A,0,0,,,,,,"LEAD AVE SE, SPRUCE ST NE"
2943,710034532,6/13/09,2009,June,13,Saturday,1509,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,TULANE DR NE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Inadequate Brakes,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,,,,,"LEAD AVE SE, TULANE DR NE"
2944,710003428,6/16/09,2009,June,16,Tuesday,753,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
2945,710008519,6/22/09,2009,June,22,Monday,1049,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,,,-106.638,35.0798,"LEAD AVE SE, LOCUST ST SE"
2946,710011582,6/29/09,2009,June,29,Monday,1444,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,COLUMBIA DR NE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Following Too Closely,3,0,1,1,0,1,2,Not Involved,Not Involved,Not Involved,Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,AAS,,,,,"LEAD AVE SE, COLUMBIA DR NE"
2947,23210153,7/2/09,2009,July,2,Thursday,1102,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,UNIVERISTY BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.627,35.0784,"LEAD AVE SE, UNIVERISTY BLVD SE"
2948,710007762,7/3/09,2009,July,3,Friday,2125,21,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,R-I25/LEAD AVE-SB,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Alcohol/Drug Involved,4,0,0,0,0,4,2,Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Disabling,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,E,U,9998,0,,,,-106.638,35.0798,"R-I25/LEAD AVE-SB, LEAD AVE SE"
2949,22777254,7/6/09,2009,July,6,Monday,1121,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA AVE NW,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Improper Lane Change,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,NON-INTERSECTION,On Roadway,CURVE,On Grade,W,U,9998,0,,,,,,"LEAD AVE SE, BUENA VISTA AVE NW"
2950,22004461,7/10/09,2009,July,10,Friday,1920,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Injury Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Following Too Closely,6,0,0,0,1,5,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
2951,23145984,7/11/09,2009,July,11,Saturday,1700,17,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,BRYN MAWR DR NE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Following Too Closely,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,No Damage,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,E,U,9998,0,,,,,,"LEAD AVE SE, BRYN MAWR DR NE"
2952,23151456,7/13/09,2009,July,13,Monday,1804,18,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,ARNO ST NE,Injury Crash,Other Vehicle,Non-Intersection - One Vehicle/Stopped Traffic,Driver Inattention,3,0,0,0,1,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,On Grade,W,EAST,200,0,,,,,,"LEAD AVE SE, ARNO ST NE"
2953,710010314,7/13/09,2009,July,13,Monday,1128,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SYCAMORE ST NE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,S,U,9998,0,,,,,,"LEAD AVE SE, SYCAMORE ST NE"
2954,23047741,7/15/09,2009,July,15,Wednesday,1345,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,MAPLE ST SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Driver Inattention,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,,,"MAPLE ST SE, LEAD AVE SE"
2955,710010223,7/16/09,2009,July,16,Thursday,2146,21,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,UNIVERISTY BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Missing Data,2,0,0,0,1,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Missing Data,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,N,U,9998,0,,,,-106.627,35.0784,"UNIVERISTY BLVD SE, LEAD AVE SE"
2956,23145819,7/16/09,2009,July,16,Thursday,1116,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MORNINGSIDE DR NE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,,,,,"LEAD AVE SE, MORNINGSIDE DR NE"
2957,23143388,7/17/09,2009,July,17,Friday,1613,16,BERNALILLO,ALBUQUERQUE,OTHER CITY POLICE,LEAD,SECONDARY,SPRUCE ST SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Hillcrest,N,UNKNOWN OR N/A,0,0,,,,,,"SPRUCE ST SE, LEAD AVE SE"
